id,chunk_text,ticket_subject,ticket_type,ticket_priority,ticket_channel,ticket_status,product_purchased,date_ts,customer_satisfaction_rating,age_band,issue_family,issue_severity,needs_immediate_attention
8188,Casual refund inquiry. I bought Samsung Galaxy S23 a few months back and just never got around to using it. I realize it might be too late for a return but thought I would ask about my options,Casual refund inquiry,Refund request,Low,Phone,Pending Customer Response,Microsoft Office 365,1709596800,2,45-54,refund,low,false
6075,"General recommendation. I am casually looking for something good for remote work. Would Microsoft Office 365 be a good fit? No urgency, just exploring options at this stage",General recommendation,Product inquiry,Low,Chat,Open,Dell XPS Laptop,1705276800,,45-54,product,low,false
2572,Discount missing. I used a promo code when I signed up for LG Smart TV but I do not see the discount on my first bill. Can you check whether it was applied properly?,Discount missing,Billing inquiry,Medium,Chat,Pending Customer Response,Google Pixel 8,1712707200,,65+,billing,normal,false
5874,"Casual inquiry. I was just browsing and came across Adobe Creative Cloud. Out of curiosity, what does it actually do? I am not planning a purchase, just interested to learn more",Casual inquiry,Product inquiry,Low,Web,Closed,Microsoft Office 365,1705276800,3,18-24,product,low,false
1466,Documentation unclear. The help documentation for Google Pixel 8 advanced settings is a bit confusing. I figured it out eventually but thought you should know. No urgency,Documentation unclear,Technical issue,Low,Social media,Open,Autodesk AutoCAD,1705276800,2,35-44,technical,low,false
5485,Product comparison. I am trying to decide between Autodesk AutoCAD and CompetitorPro 2024 for my business. Could you help me understand the main differences between the two?,Product comparison,Product inquiry,Medium,Web,Closed,Samsung Galaxy S23,1712707200,5,25-34,product,normal,false
4040,Switching provider. Please cancel my Nintendo Switch subscription. I have found another solution that works better for my needs. Would like the cancellation confirmed by email,Switching provider,Cancellation request,Medium,Email,Open,LG Smart TV,1730419200,2,18-24,cancellation,normal,false
5171,Compatibility check. I need to confirm Fitbit Charge 6 compatibility with macOS Ventura before making a significant purchase decision. Can you respond within the next day or two?,Compatibility check,Product inquiry,High,Email,Open,LG Smart TV,1705276800,1,25-34,product,urgent,false
1243,"Cosmetic glitch. I noticed the icon for Amazon Echo looks slightly pixelated on my desktop. Everything works perfectly fine, just does not look great. No rush on this at all",Cosmetic glitch,Technical issue,Low,Email,Open,Nintendo Switch,1730419200,3,45-54,technical,low,false
264,Service down. The Autodesk AutoCAD service is down for our whole office. We cannot process any orders or access customer data. This is costing us money right now,Service down,Technical issue,Critical,Email,Closed,Samsung Galaxy S23,1709596800,4,45-54,technical,urgent,true
4166,No longer needed. I would like to cancel my Amazon Echo account. I was using it for a project that has now ended and I have no further use for the service,No longer needed,Cancellation request,Medium,Chat,Closed,Autodesk AutoCAD,1709596800,2,25-34,cancellation,normal,false
677,Installation failure. Cannot get GoPro Hero installed on my new computer. Tried 7 times and it keeps failing at the same step with error ERR_502. Need this working soon,Installation failure,Technical issue,High,Chat,Closed,Nintendo Switch,1709596800,,35-44,technical,urgent,false
859,Software bug. There is a bug in Nintendo Switch where the formatting gets messed up when I paste text. Does not happen every time. I found a workaround but it is a bit tedious,Software bug,Technical issue,Medium,Chat,Open,Amazon Echo,1705276800,2,18-24,technical,normal,false
3384,Urgent account closure. I need my Microsoft Office 365 account closed today. There has been suspicious activity and I do not feel safe keeping the account open. Please act on this urgently,Urgent account closure,Cancellation request,Critical,Chat,Pending Customer Response,Sony WH-1000XM5,1708387200,1,35-44,cancellation,urgent,true
6425,Multiple unauthorized charges. I found 2 unauthorized charges for Autodesk AutoCAD on my account totaling $999.00. I never signed up for this. I need all charges reversed immediately,Multiple unauthorized charges,Refund request,Critical,Email,Closed,Autodesk AutoCAD,1712707200,2,18-24,refund,urgent,true
8100,Compatibility question. I am having some issues with my current setup and am wondering if Google Pixel 8 might solve them. Before purchasing I need to know if it works with iOS 17,Compatibility question,Product inquiry,Low,Email,Pending Customer Response,Google Pixel 8,1730419200,4,55-64,product,low,false
4463,Future cancel inquiry. I am thinking about cancelling my Sony WH-1000XM5 subscription at some point in the next few months. Can you let me know what the process involves?,Future cancel inquiry,Cancellation request,Low,Chat,Open,Dell XPS Laptop,1730419200,2,18-24,cancellation,low,false
6257,Large fraudulent charge. I have been charged $499.99 for Amazon Echo that I never purchased. This is a huge amount and has caused me serious financial difficulty. I need this refunded today,Large fraudulent charge,Refund request,Critical,Email,Open,Autodesk AutoCAD,1709596800,,35-44,refund,urgent,true
1018,Display issue. There is a small flickering in the bottom corner of my LG Smart TV screen. Only noticeable on white backgrounds. Does not really affect my work,Display issue,Technical issue,Medium,Chat,Closed,Nintendo Switch,1730419200,3,18-24,technical,normal,false
3012,"Payment history. I would like to download my payment history for Nintendo Switch for my own records. No rush on this at all, just for personal accounting purposes",Payment history,Billing inquiry,Low,Social media,Open,LG Smart TV,1730419200,2,35-44,billing,low,false
587,Network problem. My Nintendo Switch keeps dropping the connection every hour or so. I have to restart it each time which interrupts my work. Have tried resetting the router already,Network problem,Technical issue,High,Web,Open,Apple MacBook Pro,1705276800,5,55-64,technical,urgent,false
4596,Addon removal. I would like to remove one of the add-on features from my HP LaserJet Printer plan. The main subscription is fine but I do not use the extra add-on at all,Addon removal,Cancellation request,Low,Chat,Pending Customer Response,LG Smart TV,1705276800,4,45-54,cancellation,low,false
7687,Trial charge. I think I was charged a small amount of $49.00 for a iPhone 15 trial I forgot about. If possible I would like this refunded but it is not a big deal either way,Trial charge,Refund request,Low,Chat,Closed,Dell XPS Laptop,1705276800,1,35-44,refund,low,false
6555,Months of wrong charges. I have been incorrectly charged for Dell XPS Laptop for 6 months without realizing it. The total is $499.99. I need a full refund of all these charges,Months of wrong charges,Refund request,Critical,Web,Pending Customer Response,Dell XPS Laptop,1712707200,1,55-64,refund,urgent,true
1627,Large unauthorized charge. There is a charge of $749.99 on my account that I did not authorize. I have never purchased anything that expensive from you. I need this reversed today,Large unauthorized charge,Billing inquiry,Critical,Email,Pending Customer Response,GoPro Hero,1712707200,1,18-24,billing,urgent,true
454,Performance degraded. My Amazon Echo has been running very slowly for the past week. It takes 10 minutes to do tasks that used to take 30 seconds. My productivity is seriously affected,Performance degraded,Technical issue,High,Phone,Pending Customer Response,HP LaserJet Printer,1730419200,,18-24,technical,urgent,false
462,Major feature broken. The export feature in HP LaserJet Printer stopped working after last Tuesday's update. I use this feature every single day and cannot complete my work without it,Major feature broken,Technical issue,High,Phone,Pending Customer Response,Fitbit Charge 6,1712707200,2,35-44,technical,urgent,false
4339,Trial cancel. I signed up for the Google Pixel 8 free trial just to have a look. I have decided it is not quite what I need and would like to cancel before any charge happens,Trial cancel,Cancellation request,Low,Chat,Pending Customer Response,Amazon Echo,1708387200,2,25-34,cancellation,low,false
6497,Dangerous defective product. My Adobe Creative Cloud overheated and caused damage to my desk. I need an immediate full refund of $99.00 and I will also be filing a safety complaint,Dangerous defective product,Refund request,Critical,Email,Pending Customer Response,HP LaserJet Printer,1709596800,,18-24,refund,urgent,true
292,Service down. The Apple MacBook Pro service is down for our whole office. We cannot process any orders or access customer data. This is costing us money right now,Service down,Technical issue,Critical,Social media,Pending Customer Response,Dell XPS Laptop,1709596800,5,25-34,technical,urgent,true
1006,Display issue. There is a small flickering in the bottom corner of my HP LaserJet Printer screen. Only noticeable on white backgrounds. Does not really affect my work,Display issue,Technical issue,Medium,Social media,Pending Customer Response,Adobe Creative Cloud,1708387200,4,25-34,technical,normal,false
7438,"Small goodwill request. I had a minor issue with Autodesk AutoCAD early on that has since been resolved. I was just wondering if any goodwill credit might be available, though I completely understand if not",Small goodwill request,Refund request,Low,Web,Closed,Dell XPS Laptop,1705276800,4,45-54,refund,low,false
1124,Slow updates. Updates on HP LaserJet Printer take much longer than they used to. What used to take 5 minutes now takes 30. The device still works fine otherwise,Slow updates,Technical issue,Medium,Phone,Closed,HP LaserJet Printer,1709596800,4,18-24,technical,normal,false
5155,Compatibility check. I need to confirm Nintendo Switch compatibility with Ubuntu 22.04 before making a significant purchase decision. Can you respond within the next day or two?,Compatibility check,Product inquiry,High,Phone,Closed,Dell XPS Laptop,1705276800,2,55-64,product,urgent,false
5305,Demo request. I would like to schedule a demo of Samsung Galaxy S23 this week if possible. We are close to a purchasing decision and want to see it in action first,Demo request,Product inquiry,High,Email,Open,Apple MacBook Pro,1705276800,4,55-64,product,urgent,false
4658,Addon removal. I would like to remove one of the add-on features from my LG Smart TV plan. The main subscription is fine but I do not use the extra add-on at all,Addon removal,Cancellation request,Low,Email,Pending Customer Response,Sony WH-1000XM5,1712707200,4,55-64,cancellation,low,false
1567,Large unauthorized charge. There is a charge of $599.99 on my account that I did not authorize. I have never purchased anything that expensive from you. I need this reversed today,Large unauthorized charge,Billing inquiry,Critical,Phone,Pending Customer Response,Autodesk AutoCAD,1709596800,,25-34,billing,urgent,true
1607,Large unauthorized charge. There is a charge of $499.99 on my account that I did not authorize. I have never purchased anything that expensive from you. I need this reversed today,Large unauthorized charge,Billing inquiry,Critical,Web,Pending Customer Response,Google Pixel 8,1705276800,2,45-54,billing,urgent,true
319,Service down. The Autodesk AutoCAD service is down for our whole office. We cannot process any orders or access customer data. This is costing us money right now,Service down,Technical issue,Critical,Chat,Open,Samsung Galaxy S23,1709596800,1,25-34,technical,urgent,true
34,System outage. Our entire Samsung Galaxy S23 system is completely down. All 5 users cannot access anything and we are losing business every minute. Nothing is working at all,System outage,Technical issue,Critical,Social media,Open,Google Pixel 8,1709596800,,18-24,technical,urgent,true
1350,"General question. I am trying to figure out the best settings for Microsoft Office 365 to optimize battery life. Everything is working fine, just want to get the most out of it",General question,Technical issue,Low,Social media,Closed,HP LaserJet Printer,1708387200,1,25-34,technical,low,false
5613,Specification question. I have some questions about Samsung Galaxy S23 specifications. Mainly I need to know the maximum battery capacity it supports. Taking my time on this decision,Specification question,Product inquiry,Medium,Email,Closed,Microsoft Office 365,1709596800,1,65+,product,normal,false
5509,Product comparison. I am trying to decide between Apple MacBook Pro and Enterprise Suite for my business. Could you help me understand the main differences between the two?,Product comparison,Product inquiry,Medium,Web,Closed,Adobe Creative Cloud,1709596800,5,45-54,product,normal,false
7301,Accidental purchase. I accidentally bought the wrong LG Smart TV version and need a refund so I can buy the right one. The amount is $49.99 and I have not opened the packaging,Accidental purchase,Refund request,Medium,Email,Closed,Fitbit Charge 6,1705276800,1,55-64,refund,normal,false
1331,"General question. I am trying to figure out the best settings for Autodesk AutoCAD to optimize battery life. Everything is working fine, just want to get the most out of it",General question,Technical issue,Low,Social media,Closed,Nintendo Switch,1705276800,4,35-44,technical,low,false
5289,Bulk purchase. I am looking to purchase Amazon Echo for 25 users and need a formal quote. We have a procurement deadline at the end of the week,Bulk purchase,Product inquiry,High,Phone,Pending Customer Response,HP LaserJet Printer,1712707200,5,55-64,product,urgent,false
5126,Pre-purchase evaluation. I am evaluating Google Pixel 8 for our team of 10 people and have a decision meeting in 5 days. I need detailed information on features and pricing before then,Pre-purchase evaluation,Product inquiry,High,Chat,Closed,LG Smart TV,1709596800,1,45-54,product,urgent,false
2868,"Billing date preference. I was wondering if it is possible to change my billing date for Nintendo Switch from the 15th to the 1st of the month. Just a preference, not urgent",Billing date preference,Billing inquiry,Low,Chat,Pending Customer Response,Dell XPS Laptop,1705276800,3,65+,billing,low,false
1747,Fraudulent charges. I see several charges on my account totaling $499.99 that I did not make. My card details may have been stolen. I need all transactions frozen now,Fraudulent charges,Billing inquiry,Critical,Chat,Open,Google Pixel 8,1709596800,3,55-64,billing,urgent,true
6808,Duplicate charge. I was charged twice for my iPhone 15 purchase. Both charges of $49.99 are on my credit card statement and I need the duplicate refunded as soon as possible,Duplicate charge,Refund request,High,Email,Closed,Microsoft Office 365,1730419200,3,35-44,refund,urgent,false
1692,Account suspended. My Dell XPS Laptop account was suspended for non-payment but I have proof that I paid. I cannot access any of my data and have a business deadline tomorrow,Account suspended,Billing inquiry,Critical,Social media,Closed,Autodesk AutoCAD,1712707200,3,18-24,billing,urgent,true
7463,"Small goodwill request. I had a minor issue with Fitbit Charge 6 early on that has since been resolved. I was just wondering if any goodwill credit might be available, though I completely understand if not",Small goodwill request,Refund request,Low,Web,Open,Dell XPS Laptop,1730419200,3,35-44,refund,low,false
7319,Accidental purchase. I accidentally bought the wrong Autodesk AutoCAD version and need a refund so I can buy the right one. The amount is $149.99 and I have not opened the packaging,Accidental purchase,Refund request,Medium,Phone,Closed,iPhone 15,1708387200,4,65+,refund,normal,false
8226,Cancellation needed soon. I need to cancel my Sony WH-1000XM5 subscription before it renews next week. I have been meaning to do this for a while. Please process the cancellation when you get a chance,Cancellation needed soon,Cancellation request,Medium,Email,Open,Amazon Echo,1708387200,2,35-44,cancellation,normal,false
1895,Business suspended. Our company account has been suspended due to a billing error on your end. All 100 of my staff cannot work. This needs to be fixed today,Business suspended,Billing inquiry,Critical,Social media,Open,Fitbit Charge 6,1705276800,,35-44,billing,urgent,true
3913,Standard cancellation. I would like to cancel my Microsoft Office 365 subscription at the end of this billing period. I no longer need the service and want to stop the monthly charge,Standard cancellation,Cancellation request,Medium,Chat,Closed,Autodesk AutoCAD,1705276800,4,55-64,cancellation,normal,false
5702,Upgrade path. I have an older version of Amazon Echo and am considering upgrading. What are the main new features in the latest version and what is the upgrade price?,Upgrade path,Product inquiry,Medium,Email,Closed,Samsung Galaxy S23,1708387200,,65+,product,normal,false
995,Display issue. There is a small flickering in the bottom corner of my Dell XPS Laptop screen. Only noticeable on white backgrounds. Does not really affect my work,Display issue,Technical issue,Medium,Chat,Closed,Fitbit Charge 6,1730419200,1,65+,technical,normal,false
1919,Business suspended. Our company account has been suspended due to a billing error on your end. All 100 of my staff cannot work. This needs to be fixed today,Business suspended,Billing inquiry,Critical,Phone,Open,Nintendo Switch,1730419200,,55-64,billing,urgent,true
5880,"Casual inquiry. I was just browsing and came across Dell XPS Laptop. Out of curiosity, what does it actually do? I am not planning a purchase, just interested to learn more",Casual inquiry,Product inquiry,Low,Web,Closed,Adobe Creative Cloud,1705276800,5,65+,product,low,false
8165,Casual refund inquiry. I bought LG Smart TV a few months back and just never got around to using it. I realize it might be too late for a return but thought I would ask about my options,Casual refund inquiry,Refund request,Low,Web,Closed,Sony WH-1000XM5,1708387200,4,25-34,refund,low,false
3269,Emergency termination. Please cancel all Apple MacBook Pro subscriptions on my account immediately. We have a security issue and need to shut everything down today without delay,Emergency termination,Cancellation request,Critical,Phone,Pending Customer Response,iPhone 15,1705276800,2,65+,cancellation,urgent,true
5103,Pre-purchase evaluation. I am evaluating Microsoft Office 365 for our team of 10 people and have a decision meeting in 3 days. I need detailed information on features and pricing before then,Pre-purchase evaluation,Product inquiry,High,Chat,Pending Customer Response,Samsung Galaxy S23,1708387200,1,25-34,product,urgent,false
5767,Upgrade path. I have an older version of Amazon Echo and am considering upgrading. What are the main new features in the latest version and what is the upgrade price?,Upgrade path,Product inquiry,Medium,Web,Open,Fitbit Charge 6,1708387200,1,25-34,product,normal,false
320,Service down. The Google Pixel 8 service is down for our whole office. We cannot process any orders or access customer data. This is costing us money right now,Service down,Technical issue,Critical,Phone,Open,Apple MacBook Pro,1709596800,3,45-54,technical,urgent,true
4765,Emergency procurement. Our current system completely failed this morning and we urgently need to know if Google Pixel 8 can replace it for 50 users by tomorrow. Please respond today,Emergency procurement,Product inquiry,Critical,Web,Pending Customer Response,Dell XPS Laptop,1708387200,1,18-24,product,urgent,true
7786,"Minor dissatisfaction. I am mostly happy with LG Smart TV but one feature does not work quite as I expected. I am not looking for a full refund, just wondering if any partial credit is possible",Minor dissatisfaction,Refund request,Low,Chat,Open,Google Pixel 8,1712707200,,55-64,refund,low,false
3412,Urgent account closure. I need my Autodesk AutoCAD account closed today. There has been suspicious activity and I do not feel safe keeping the account open. Please act on this urgently,Urgent account closure,Cancellation request,Critical,Phone,Closed,Adobe Creative Cloud,1708387200,5,35-44,cancellation,urgent,true
6109,Background research. I am just doing some background research on different products in this category. How does Fitbit Charge 6 compare to CompetitorPro 2024 in general terms?,Background research,Product inquiry,Low,Chat,Pending Customer Response,HP LaserJet Printer,1709596800,1,18-24,product,low,false
541,Hardware issue. The keyboard on my HP LaserJet Printer is malfunctioning. It crashes about twice a day and I lose unsaved work each time. Getting quite frustrating,Hardware issue,Technical issue,High,Email,Pending Customer Response,Nintendo Switch,1712707200,2,35-44,technical,urgent,false
4849,Urgent compatibility. I have a critical project due in 24 hours and need to urgently confirm if Autodesk AutoCAD works with Windows 11 before I purchase. This cannot wait,Urgent compatibility,Product inquiry,Critical,Phone,Open,Microsoft Office 365,1705276800,5,45-54,product,urgent,true
1282,Minor preference. The default font size in Nintendo Switch seems a bit small to me. I know I can change it in settings but wanted to mention it as feedback. Not urgent,Minor preference,Technical issue,Low,Web,Closed,HP LaserJet Printer,1708387200,5,65+,technical,low,false
6258,Large fraudulent charge. I have been charged $999.00 for Amazon Echo that I never purchased. This is a huge amount and has caused me serious financial difficulty. I need this refunded today,Large fraudulent charge,Refund request,Critical,Web,Closed,iPhone 15,1705276800,2,55-64,refund,urgent,true
1430,Documentation unclear. The help documentation for GoPro Hero advanced settings is a bit confusing. I figured it out eventually but thought you should know. No urgency,Documentation unclear,Technical issue,Low,Email,Pending Customer Response,Dell XPS Laptop,1709596800,3,25-34,technical,low,false
473,Major feature broken. The export feature in iPhone 15 stopped working after last Tuesday's update. I use this feature every single day and cannot complete my work without it,Major feature broken,Technical issue,High,Chat,Pending Customer Response,Apple MacBook Pro,1709596800,1,45-54,technical,urgent,false
7371,Refund status check. I submitted a refund request 7 days ago for LG Smart TV with ID REF-2024-045. Just checking on the status as I have not heard anything yet,Refund status check,Refund request,Medium,Email,Pending Customer Response,Google Pixel 8,1708387200,3,45-54,refund,normal,false
354,Critical error. Getting a critical error 404_DEVICE on Autodesk AutoCAD every time I try to open it. Cannot get past the login screen. My entire team is blocked,Critical error,Technical issue,Critical,Web,Closed,Autodesk AutoCAD,1708387200,1,45-54,technical,urgent,true
6844,Duplicate charge. I was charged twice for my Adobe Creative Cloud purchase. Both charges of $59.99 are on my credit card statement and I need the duplicate refunded as soon as possible,Duplicate charge,Refund request,High,Email,Pending Customer Response,Google Pixel 8,1708387200,5,45-54,refund,urgent,false
2971,"Payment history. I would like to download my payment history for Samsung Galaxy S23 for my own records. No rush on this at all, just for personal accounting purposes",Payment history,Billing inquiry,Low,Phone,Closed,Amazon Echo,1730419200,2,25-34,billing,low,false
4746,Emergency procurement. Our current system completely failed this morning and we urgently need to know if Google Pixel 8 can replace it for 10 users by tomorrow. Please respond today,Emergency procurement,Product inquiry,Critical,Social media,Pending Customer Response,Sony WH-1000XM5,1730419200,2,45-54,product,urgent,true
7782,"Minor dissatisfaction. I am mostly happy with Nintendo Switch but one feature does not work quite as I expected. I am not looking for a full refund, just wondering if any partial credit is possible",Minor dissatisfaction,Refund request,Low,Chat,Closed,Amazon Echo,1712707200,3,55-64,refund,low,false
2819,"Billing date preference. I was wondering if it is possible to change my billing date for Sony WH-1000XM5 from the 15th to the 1st of the month. Just a preference, not urgent",Billing date preference,Billing inquiry,Low,Email,Closed,GoPro Hero,1705276800,3,18-24,billing,low,false
3828,Overdue cancellation. I need to cancel my Sony WH-1000XM5 subscription as soon as possible. I have been meaning to do this for a while and keep forgetting. I do not want to be charged again,Overdue cancellation,Cancellation request,High,Email,Open,Google Pixel 8,1705276800,5,25-34,cancellation,urgent,false
2190,Payment not applied. I made a payment of $79.00 two weeks ago but my account still shows as overdue. The payment cleared my bank. Please apply it to my account,Payment not applied,Billing inquiry,High,Chat,Closed,Samsung Galaxy S23,1712707200,4,65+,billing,urgent,false
6057,"General recommendation. I am casually looking for something good for remote work. Would Sony WH-1000XM5 be a good fit? No urgency, just exploring options at this stage",General recommendation,Product inquiry,Low,Web,Closed,Microsoft Office 365,1712707200,5,45-54,product,low,false
1177,"Cosmetic glitch. I noticed the icon for Dell XPS Laptop looks slightly pixelated on my desktop. Everything works perfectly fine, just does not look great. No rush on this at all",Cosmetic glitch,Technical issue,Low,Phone,Open,Nintendo Switch,1705276800,3,55-64,technical,low,false
5247,Bulk purchase. I am looking to purchase Apple MacBook Pro for 50 users and need a formal quote. We have a procurement deadline at the end of the week,Bulk purchase,Product inquiry,High,Email,Closed,Samsung Galaxy S23,1709596800,4,25-34,product,urgent,false
8158,Casual refund inquiry. I bought GoPro Hero a few months back and just never got around to using it. I realize it might be too late for a return but thought I would ask about my options,Casual refund inquiry,Refund request,Low,Social media,Closed,Microsoft Office 365,1730419200,,45-54,refund,low,false
3347,Urgent account closure. I need my Amazon Echo account closed today. There has been suspicious activity and I do not feel safe keeping the account open. Please act on this urgently,Urgent account closure,Cancellation request,Critical,Email,Closed,Adobe Creative Cloud,1712707200,2,35-44,cancellation,urgent,true
6593,Months of wrong charges. I have been incorrectly charged for Adobe Creative Cloud for 4 months without realizing it. The total is $1299.00. I need a full refund of all these charges,Months of wrong charges,Refund request,Critical,Phone,Open,Microsoft Office 365,1705276800,3,25-34,refund,urgent,true
2389,Invoice needed. I need an official invoice for my Adobe Creative Cloud purchase for my company expense report. The confirmation email I received does not have enough detail for accounting,Invoice needed,Billing inquiry,Medium,Email,Open,Amazon Echo,1730419200,4,35-44,billing,normal,false
3839,Overdue cancellation. I need to cancel my HP LaserJet Printer subscription as soon as possible. I have been meaning to do this for a while and keep forgetting. I do not want to be charged again,Overdue cancellation,Cancellation request,High,Chat,Pending Customer Response,Autodesk AutoCAD,1708387200,2,25-34,cancellation,urgent,false
4602,Addon removal. I would like to remove one of the add-on features from my iPhone 15 plan. The main subscription is fine but I do not use the extra add-on at all,Addon removal,Cancellation request,Low,Social media,Closed,Nintendo Switch,1712707200,2,25-34,cancellation,low,false
4340,Trial cancel. I signed up for the Dell XPS Laptop free trial just to have a look. I have decided it is not quite what I need and would like to cancel before any charge happens,Trial cancel,Cancellation request,Low,Email,Open,Amazon Echo,1705276800,1,25-34,cancellation,low,false
5221,Compatibility check. I need to confirm Sony WH-1000XM5 compatibility with Windows 11 before making a significant purchase decision. Can you respond within the next day or two?,Compatibility check,Product inquiry,High,Social media,Open,HP LaserJet Printer,1705276800,,55-64,product,urgent,false
4626,Addon removal. I would like to remove one of the add-on features from my GoPro Hero plan. The main subscription is fine but I do not use the extra add-on at all,Addon removal,Cancellation request,Low,Web,Closed,Nintendo Switch,1712707200,5,45-54,cancellation,low,false
2466,Proration confusion. I upgraded my plan last month and got a prorated charge of $79.00 that I do not fully understand. Can someone explain how this was calculated?,Proration confusion,Billing inquiry,Medium,Phone,Closed,Nintendo Switch,1705276800,1,55-64,billing,normal,false
5072,Pre-purchase evaluation. I am evaluating GoPro Hero for our team of 100 people and have a decision meeting in 7 days. I need detailed information on features and pricing before then,Pre-purchase evaluation,Product inquiry,High,Web,Closed,HP LaserJet Printer,1712707200,2,45-54,product,urgent,false
6282,Large fraudulent charge. I have been charged $499.99 for Fitbit Charge 6 that I never purchased. This is a huge amount and has caused me serious financial difficulty. I need this refunded today,Large fraudulent charge,Refund request,Critical,Chat,Pending Customer Response,Amazon Echo,1708387200,3,25-34,refund,urgent,true
6154,Background research. I am just doing some background research on different products in this category. How does LG Smart TV compare to CompetitorPro 2024 in general terms?,Background research,Product inquiry,Low,Web,Closed,Amazon Echo,1709596800,4,25-34,product,low,false
6161,Background research. I am just doing some background research on different products in this category. How does LG Smart TV compare to Enterprise Suite in general terms?,Background research,Product inquiry,Low,Email,Pending Customer Response,Nintendo Switch,1708387200,5,45-54,product,low,false
